song,Artist,Genres,Songwriter,Lyrics,
It's Not Over,Daughtry,"alternative metal,neo mellow,pop rock,post-grunge","Chris Daughtry, Gregg Wattenberg, Mark Wilkerson, Ace Young","I was blown away, what could I say?
It all seemed to make sense
You've taken away everything
And I can't deal without, I try to see the good in life
But good things in life are hard to find
We'll blow it away, blow it away
Can we make this something good?
Well, I'll try to do it right this time around
Let's start over
I'll try to do it right this time around
It's not over
'Cause a part of me is dead and in the ground
This love is killing me, but you're the only one
It's not over
Taken all I could take, and I can not wait
We're wasting too much time
Being strong, holding on
Can't let it bring us down
My life with you means everything
So I won't give up that easily
I'll blow it away, blow it away
Can we make this something good?
'Cause it's all misunderstood
Well, I'll try to do it right this time around
Let's start over
I'll try to do it right this time around
It's not over
'Cause a part of me is dead and in the ground
This love is killing me, but you're the only one
It's not over
We can't let this get away
Let it out, let it out
Don't get caught up in yourself
Let it out
Let's start over
I'll try to do it right this time around
It's not over
'Cause a part of me is dead and in the ground
This love is killing me, but you're the only one
It's not over
Let's start over
It's not over, yeah, yeah
This love is killing me, but you're the only one
It's not over",
Not the Doctor,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter",Alanis Morissette,"I don't want to be the filler if the void is solely yours
I don't want to be your glass of single malt whiskey
Hidden in the bottom drawer
I don't want to be a bandage if the wound is not mine
Lend me some fresh air
I don't want to be adored for what I merely represent to you
I don't want to be your babysitter
You're a very big boy now
I don't want to be your mother
I didn't carry you in my womb for nine months
Show me the back door
Visiting hours are 9 to 5 and if I show up at 10 past 6
Well I already know that you'd find some way to sneak me in and oh
Mind the empty bottle with the holes along the bottom
You see it's too much to ask for and I am not the doctor
I don't want to be the sweeper of the egg shells that you walk upon
And I don't want to be your other half, I believe that 1 and 1 make 2
I don't want to be your food or the light from the fridge on your face
At midnight, hey
What are you hungry for?
I don't want to be the glue that holds your pieces together
I don't want to be your idol
See this pedestal is high and I'm afraid of heights
I don't want to be lived through
A vicarious occasion
Please open the window
Visiting hours are 9 to 5 and if I show up at 10 past 6
Well I already know that you'd find some way to sneak me in and oh
Mind the empty bottle with the holes along the bottom
You see it's too much to ask for and I am not the doctor
I don't want to live on someday when my motto is last week
I don't want to be responsible for your fractured heart
And it's wounded beat
I don't want to be a substitute for the smoke you've been inhaling
What do you thank me
What do you thank me for
Visiting hours are 9 to 5 and if I show up at 10 past 6
Well I already know that you'd find some way to sneak me in and oh
Mind the empty bottle with the holes along the bottom
You see it's too much to ask for and I am not the doctor",
TiK ToK,Kesha,"dance pop,electropop,pop,post-teen pop","Gottwald Lukasz, Levin Benjamin","Wake up in the mornin' feeling like P. Diddy (Hey, what up, girl?)
Grab my glasses; I'm out the door, I'm gonna hit this city (Let's go!)
Before I leave, brush my teeth, with a bottle of Jack
'Cause when I leave for the night I ain't comin' back
I'm talkin' pedicure on our toes, toes
Tryin' on all our clothes, clothes
Boys blowin' up our phones, phones
Drop-toppin', playin' our favorite CDs
Pullin' up to the parties
Tryin' to get a little bit tipsy
Don't stop, make it pop, D.J., blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh-ooh, oh-ooh, whoa-oh
Oh-ooh, oh-ooh, whoa-oh
Don't stop, make it pop, D.J., blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh-ooh, oh-ooh, whoa-oh
Oh-ooh, oh-ooh, whoa-oh
Ain't got a care in the world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now the dudes are linin' up 'cause they hear we got swagger
But we kick 'em to the curb unless they look like Mick Jagger
I'm talkin' 'bout everybody gettin' crunk, crunk
Boys tryin' to touch my junk, junk
Gonna smack him if he gettin' too drunk, drunk
Now, now we go until they kick us out, out
Or the police shut us down, down
Police shut us down, down, po-po-, shut us (Down)
Don't stop, make it pop, D.J., blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh-ooh, oh-ooh, whoa-oh
Oh-ooh, oh-ooh, whoa-oh
Don't stop, make it pop, D.J., blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh-ooh, oh-ooh, whoa-oh
Oh-ooh, oh-ooh, whoa-oh
D.J., you build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, you got me now
You got that sound, yeah, you got me
D.J., you build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, put your hands up
Put your hands up
Now, the party don't start 'til I walk in
Don't stop, make it pop, D.J., blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh-ooh, oh-ooh, whoa-oh
Oh-ooh, oh-ooh, whoa-oh
Don't stop, make it pop, D.J., blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh-ooh, oh-ooh, whoa-oh
Oh-ooh, oh-ooh, whoa-oh",
Gotta Tell You,Samantha Mumba,"bubblegum dance,dance pop,europop","Arnthor Birgisson, Samantha Mumba, Anders Bagge","Yeah, yeah, yeah, yeah, yeah
Your love for me came as a waterfall
Flowing inside me like never before
Your love for me
Something I didn't see
But, baby, I know better now
When you walked in the room that very night
A special feeling just burst inside
It was only you
Nobody else
But, baby, I know better now
Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I (if I)
Didn't tell you this tonight
Yeah, yeah, yeah, yeah, yeah
And now you're back inside my house again
I'm trying deeply to explain
'Cause baby, I
Wanna get it on
And baby you're the one for me (woah, woah, woah)
And now that I have got you all alone
After all this talking on the phone
I should be strong
There's nothing wrong
I'll tell you this is where you belong
Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I (if I)
Didn't tell you this tonight
Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I (if I)
Didn't tell you this tonight
It was just something in your eyes
That made me realise
Now I hear voices deep inside
Telling me, telling me it's you and I
Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I (if I)
Didn't tell you this tonight
Don't wanna love you if you don't love me (if you don't love me)
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I (if I)
Didn't tell you this tonight",
Ghost Of Me,Daughtry,"alternative metal,neo mellow,pop rock,post-grunge","Brian John Howes, Chris Daughtry","Thought it was dead and buried
Then it woke you up last night
Sought it so damn worried
You've been tossin' turnin'
Both ends burnin'
I
Want to put your mind at ease again
Make everything alright
I know it's getting underneath your skin
I try to tell you now
Don't look over your shoulder
'Cause that's just the ghost of me
You're seeing in your dreams
Wait
There's no rhyme or reasons
Sometimes there's no meaning
In the visions when you're sleeping
Don't wake up and believe that
You're looking at the ghost of me
You're looking at the ghost of me
Your imagination
And emotion's running wild
Fueling my frustration
Like a fire burning
Clock is turning
I
I know it's getting underneath your skin
I try to tell you now
Don't look over your shoulder
'Cause that's just the ghost of me
You're seeing in your dreams
Wait
There's no rhyme or reasons
Sometimes there's no meaning
In the visions when you're sleeping
Don't wake up and believe that
You're looking at the ghost of me
Whoa
Yeah, you're looking at the ghost of me
Yeah, you're looking at the ghost of me
Don't look over your shoulder
'Cause that's just the ghost of me
You're seein'
Wait
There's no rhyme or reasons
Sometimes there's no meaning
In the visions when you're sleeping
Don't wake up and believe that
Visions when you're sleeping
Don't wake up and believe that
You're looking at the ghost of me
Yeah, you're looking at the ghost of me
Yeah, you're looking at the ghost of me",
Right Through You,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter","Glen Ballard, Alanis Morissette, Basil Glen Ballard","Wait a minute man
You mispronounced my name
You didn't wait for all the information
Before you turned me away
Wait a minute sir
You kind of hurt my feelings
You see me as a sweet back-loaded puppet
And you've got a meal ticket taste
I see right through you
I know right through you
I feel right through you
I walk right through you
You took me for a joke
You took me for a child
You took a long hard look at my ass
And then played golf for a while
Your shake is like a fish
You pat me on the head
You took me out to wine dine 69 me
But didn't hear a damn word I said
I see right through you
I know right through you
I feel right through you
I walk right through you
Oh hello Mr. Man
You didn't think I'd come back
You didn't think I'd show up with my army
And this ammunition on my back
Now that I'm Miss Thing
Now that I'm a zillionaire
You scan the credits for your name
And wonder why it's not there
I see right through you
I know right through you
I feel right through you
I walk right through you, you",
Day And Night - StarGate Mix,"Billie Piper,StarGate","bubblegum dance,dance pop,europop","Mark Stephen Cawley, Eliot John Kennedy, Timothy John Lever, Mike Percy, Billie Piper","All of the day, all of the night
You do the things that make me feel so right
My shining star, my guiding light (my shining light)
And that's the day and night, babe
I just ain't the same when you're away
You are my inspiration
I'm hanging on to every word you say
'Cause you are my motivation
You make me feel so right
Every day and night
'Cause the only time I think of you
Is every day and all night through
Whenever I breathe you're on my mind
Every day and night, babe
All of the day, all of the night
You do the things that make me feel so right
My shining star, my guiding light(my shining light)
And that's the day and night, babe
I need you tonight, but you're not around
I need to hear your voice, baby
Something feels strange, there's not a single sound
I wish you were at my door, babe
You make me feel so right
Every day and night
'Cause the only time I think of you
Is every day and all night through
Whenever I breathe you're on my mind
Every day and every night, babe
All of the day, all of the night
You do the things that make me feel so right
My shining star, my guiding light(my shining light)
And that's the day and night, babe
Gotta let me know, oh, yeah
When you're comin' home (when you're coming home)
You know you make me feel so right
Every day and night
All of the day, all of the night
You do the things that make me feel so right
My shining star, my guilding light(my shining light)
Day and night, babe
'Cause the only time I think of you
Is every day and all night through
Whenever I breathe you're on my mind
Every day and night, babe
All of the day, all of the night
You do the things that make me feel so right
My shining star, my guiding light(my shining light)
And that's th day and night, babe",
U16 Girls,Travis,"britpop,pop rock,rock",Fran Healy,"I met a girl in L.A
The million dollar kind
She was all for all or nothing
She was open all the time
But when I called her number
Her mother's on the line sayin'
You've no business
As god's my witness
With a child as young as mine
So make sure that she's old enough
Before you blow your mind
She may look like she knows enough
But look in her eye
And if so
Let her go
You'll let her down in style
I met a girl in paris
She talked like vera lynn
And her eyes were full of dew drop
The moment I walked in
She was awfully nice
The kind that likes to win
But if I'd been wiser
A whole lot wiser
Then I might have thought again",
Thinking Of You (I Drive Myself Crazy) - Remix,*NSYNC,"boy band,dance pop,post-teen pop","Ellen Shipley, Richard W. Jr. Nowels, Allan D Rich","Oh, oh
Oh, oh
Lying in your arms
So close together
Didn't know just what I had
Now I toss and turn
'Cause I'm without you
How I'm missing you so bad
Where was my head?
Where was my heart?
Now, I cry alone in the dark
I lie awake
I drive myself crazy
Drive myself crazy
Thinking of you
Made a mistake
When I let you go, baby
I drive myself crazy
Wanting you the way that I do
Wanting you the way that I do
Oh, oh
I was such a fool, I couldn't see it
Just how good you were to me
(Just how good you were to me)
You confessed your love
(You confessed your love)
Undying devotion
I confessed my need to be free
And now I'm left with all this pain
I've only got myself to blame, yeah
I lie awake
I drive myself crazy
Drive myself crazy
Thinking of you
Made a mistake (oh yeah)
Let you go, baby
I drive myself crazy
Wanting you the way that I do
(Wanting you the way that I do)
Why didn't I know it?
How much I loved you, baby
Why couldn't I show it?
If I had only told you
When I had the chance
Oh, I had the chance
Oh, oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh
Wanting you the way that I do
I lie awake
I drive myself crazy
I drive myself crazy
Thinking of you
Made a mistake (Mistake)
Let you go, baby
I drive myself crazy
Wanting you the way that I do
I lie awake
I drive myself crazy (I drive, myself)
Drive myself crazy (crazy, crazy)
Thinking of you (crazy, crazy, yeah)
Made a mistake (made a mistake)
Let you go, baby
I drive myself crazy
Wanting you the way that I do
I drive myself crazy
Wanting you the way that I do",
Origins,Tennis,"art pop,chillwave,denver indie,indie pop,indie rock,indie surf,shimmer pop","Alaina Moore, Patrick Riley","Sensitive heart, you're doomed from the start
Meant to play the penitent part
Inquisitive mind, you're destined to find
Tempted fate and knowledge divine

View in there, a pitied pair
Denoted by a scene unfair
Will you make my children bear
The consequences everywhere?

Is it so hard to forgive
The way we've been made to live?
How much is required to set things right?
Have you confused your power with might?
Oh-whoah-oh

View in there, a pitied pair
Denoted by a scene unfair
Will you make my children bear
The consequences everywhere?
Imminent, you seem you seem to be
A picture of fragility
What is it that you think of me?
Is it a woman that you see?

Is it so hard to forgive
The way we've been made to live?
How much is required to set things right?
Have you confused your power with might?

Is it so hard to forgive
The way we've been made to live?
How much is required to set things right?
Have you confused your power with might?
Oh-whoah-oh
Oh-whoah-oh
Oh-whoah-oh
Oh-whoah-oh",
Everywhere I Go,Katharine McPhee,"idol,post-teen pop","Alesha Anjanette Dixon, Estelle Fanta Swaray, Joe Simon, Johnny Douglas","It's funny how you think you really know yourself
Like you would never lose yourself to someone else
And I was up to thinking it was about you and me
Silly, silly me
I should have never listened to a word you said
But I was always giving into promises
I never should have gone for
I should have never longed for you no matter how hard it gets
And I want this to be over
I so want this to be through
In the end somehow it always comes back to you
Cause everywhere I go
No matter what I do boy
I just can't get you out of my head
So it annoys me
He wasn't man enough
To come and tell me
That I was never the one
Like you said I was
You could have told someone
You knew that you didn't love
Me anymore
If you only told me how you really felt
I could've put my feelings into someone else
But I was busy thing that was where I was supposed to be
Silly, silly me
But there was something about you that I couldn't resist
Can't put my finger on it but whatever it is
I never should have stood for (stood for)
Should be another one for me
That's the way it is
And I want it to be over
I so want it to be through
In the end somehow it always comes back to you
Cause everywhere I go
No matter what I do boy
I just can't get you out of my head
So it annoys me
He wasn't man enough
To come and tell me
That I was never the one
Like you said I was
You could have told someone
You knew that you didn't love
Me anymore
I tell myself
Get over you
It's so the right
Right thing to do
And just when I
Thought I was done
You pulled me in
For another run
I can't take this
I won't take this
I can't do this
I won't do it
Even if I know in the end somehow
It always comes back to you
Cause everywhere I go
No matter what I do boy
I just can't get you out of my head
So it annoys me
He wasn't man enough
To come and tell me
That I was never the one
Like you said I was
You could have told someone
You knew that you didn't love
Me anymore
Cause everywhere I go
No matter what I do boy
I just can't get you out of my head
So it annoys me
He wasn't man enough
To come and tell me
That I was never the one
Like you said I was
You could have told someone
You knew that you didn't love
Me anymore
Cause everywhere I go
No matter what I do boy
I just can't get you out of my head
So it annoys me
He wasn't man enough
To come and tell me
That I was never the one
Like you said I was
You could have told someone
You knew that you didn't love
Me anymore",
Cowboy Casanova,Carrie Underwood,"contemporary country,country,country dawn,country road,oklahoma country,post-teen pop","Brett James, Carrie Underwood, Mike Elizando","You better take it from me
That boy is like a disease
You're runnin' and tryin' and tryin' to hide
And you're wondering why you can't get free
He's like a curse; he's like a drug
You get addicted to his love
You wanna get out, but he's holding ya down
'Cause you can't live without one more touch
He's a good time cowboy Casanova
Leaning up against the record machine
He looks like a cool drink of water
But he's candy-coated misery
He's the devil in disguise
A snake with blue eyes
And he only comes out at night
Gives you feelings that you don't wanna fight
You better run for your life
I see that look on your face
You ain't hearing what I say
So I'll say it again 'cause I been where ya been
And I know how it ends, you can't get away
Don't even look in his eyes
He'll tell you nothing but lies
And you wanna believe that you won't be deceived
If you listen to me and take my advice
He's a good time cowboy Casanova
Leaning up against the record machine
He looks like a cool drink of water
But he's candy-coated misery
He's the devil in disguise
A snake with blue eyes
And he only comes out at night
Gives you feelings that you don't wanna fight
You better run for your life
Run, run away, don't let him mess with your mind
He'll tell you anything you wanna hear
He'll break your heart; it's just a matter of time
But just remember
He's a good time cowboy Casanova
Leaning up against the record machine
He looks like a cool drink of water
But he's candy-coated misery
He's the devil in disguise
A snake with blue eyes
And he only comes out at night
Gives you feelings that you don't wanna fight
You better run for your life
Oh, you better run for your life
Oh, you better run for your life",
Joining You,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter","Glen Ballard, Alanis Morissette","Dear dar(lin') your mom, my friend
Left a message on my machine she was frantic
Saying you were talking crazy
That you wanted to do away with yourself
I guess she thought i'd be a perfect resort
Because we've had this inexplicable connection since our youth
And yes they're in shock they are panicked
You and your chronic them and their drama
You this embarrassment us in the middle of this delusion
If we were our bodies
If we were our futures
If we were our defenses i'd be joining you
If we were our culture
If we were our leaders
If we were our denials i'd be joining you
I remember vividly a day years ago
We were camping you knew more than you thought you should know
You said ""I don't ever want to be brainwashed""
And you were mindboggling you were intense
You were uncomfortable in your own skin you were thirsty
But mostly you were beautiful
If we were our nametags
If we were our rejections
If we were our outcomes i'd be joining you
If we were our indignities
If we were our successes
If we were our emotions i'd be joining you
You and i we're like 4 year olds
We want to know why and how come about everything
We want to reveal ourselves at will and speak our minds
And never talk small and be intuitive
And question mightily and find god my tortured beacon
We need to find like-minded companions
If we were their condemnations
If we were their projections
If we were our paranoias i'd be joining you
If we were our incomes
If we were our obsessions
If we were our afflictions i'd be joining you
We need reflection we need a really good memory
Feel free to call me a little more often",
I'm Not Missing You,Stacie Orrico,"candy pop,dance pop,post-teen pop","Keir Gist, Terence Abney, Esteban Crandle, Stacie Orrico, Balewa Muhammad, Tawanna Dabney","Oh, oh, I'm not missing you
Been through just about everything that I could go through
When it comes to relationships
Don't know what I was missing or why I ain't listen
When I told myself that was it
Now here I go, hurt again
'Cause of my curiosity
Now that it's over, what else could it be? ""Decide"" said she
I made a promise never to settle, why didn't I keep it?
'Cause I hated the heartbreak
Crying and cheating, the fooling around
But I'm not missing you
I'm not going through the motions, waiting and hoping you call me
I'm not missing you
You might have had me open but I must be going because
I've got lots to do
I know I'm usually hanging on, I used to hate to see you gone
But this time it's different, I don't even feel the distance
I'm not missing, I'm not missing you
It's a shame in a way 'cause I feel that I may not
Ever find the right one for me
Did I leave him, is he right in front of my face oh?
Will my true love ever be?
Why would I go on a search again
When I know what the end will be?
What good is love when it keeps on hurting me?
I made a promise never to settle, why didn't I keep it?
'Cause I hated the heartbreak
Crying and cheating, the fooling around (but I'm not missing you)
I'm not going through the motions, waiting and hoping you call me
I'm not missing you
You might have had me open but I must be going because
I've got lots to do
I know I'm usually hanging on, I used to hate to see you gone
But this time it's different, I don't even feel the distance
I'm not missing, I'm not missing you
I'm not going through the motions, waiting and hoping you call me
I'm not missing you
You might have had me open but I must be going because
I've got lots to do
I know I'm usually hanging on, I used to hate to see you gone
But this time it's different, I don't even feel the distance
I'm not missing, I'm not missing you
No, I can't be with you 'cause I'm scared, felt like I was falling when you left me
I can't keep going through life unaware of what I missed, I know the person I could be
Love's good when it's right and when it's left in your memory
All the times I let you down
I guess love will be nice for someone else's life (but I'm not missing you)
I'm not going through the motions, waiting and hoping you call me
Oh, I'm not missing you
You might have had me open but I must be going because
I've got a lot to do
I know I'm usually hanging on, I used to hate to see you gone (I used to hate it)
Oh feel the distance, I'm not missing, I'm not missing you
I'm not going through the motions, waiting and hoping you call me
(Knockin' at my door)
You might have had me open but I must be going because
(It's the best day of my life)
I know I'm usually hanging on, I used to hate to see you gone
Oh different, feel the distance, I'm not missing, I'm not missing you
Ooh, yeah, oh
I'm not missing you, oh baby
I'm not missing you, I'm not missing
I'm not missing you (I'm so over you
Ain't any girl I'd cry for, ohh",
These Days,Rascal Flatts,"contemporary country,country,country road","Robson Stephen Paul, Le Vasseur Jeff A, Wells Danny Mark","Hey baby, is that you?
Wow, your hair got so long
Yeah, yeah, I love it, I really do
Norma Jean, ain't that the song we'd sing in the car
Drivin' downtown, top down, makin' the rounds
Checking out the bands, on Doheny Avenue
Yeah, life throws you curves
But you learned to swerve
Me, I swung and I missed
And the next thing ya know, I'm reminiscin'
Dreaming old dreams, wishing old wishes
Like you would be back again
I wake up and teardrops, they fall down like rain
I put on, that old song, we danced to and then
I head off, into my job, guess not much, has changed
Punch the clock, head for home
Check the phone, just in case
Go to bed, dream of you
That's what I'm doin' these days
Yeah, that's what I'm doin'
Someone told me, after college, you ran off to Vegas
You married a rodeo cowboy, why?
That ain't the girl I knew
Me, I've been a few places, mostly here and there once or twice
Still sortin' out life, but I'm doin' all right
Yeah, it's good to see you, too
Well, hey girl you're late
And those planes, they don't wait
But if you ever come back
Around this sleepy old town
Promise me you'll stop in
To see an old friend, and until then
I wake up and teardrops, they fall down like rain
I put on, that old song, we danced to and then
I head off, into my job, guess not much, has changed
Punch the clock, head for home
Check the phone, just in case
Go to bed, dream of you
That's what I'm doin' these days
Wake up. I wake up and teardrops, they fall down like rain
I put on, that old song, we danced to and then
I head off, into my job, guess not much, has changed
Punch the clock, head for home
Check the phone, just in case
Go to bed, dream of you
That's what I'm doin' these...
I wake up and teardrops, they fall down like rain
I put on, that old song, we danced to and then
I wake up and teardrops, they fall down like rain
I put on that old song we danced to and then
I wake up and teardrops they fall down like rain
I put on that old song we danced to and then",
Losing My Mind,Daughtry,"alternative metal,neo mellow,pop rock,post-grunge","Michael Busbee, Chris Daughtry","Never thought a train goin' any place could've changed my life
Never thought I'd say I could go insane, 'til I saw your eyes
And I had to take another look to know for sure
That you could be for real
You found an empty seat sittin' next to me
And I asked your name
Where you comin' from?
Where you headed to this Saturday?
'Cause I'm gonna be out on the town
As long as you are goin' there with me
Yeah and my head keeps spinnin'
You got me trippin'
There's something about the way you move
Yeah, every little single thing you do is like
One part angel and one part danger
But, oh, the kind of crazy I like
You got me losing my mind
I'm losing my mind!
It's getting hard to sleep
Getting hard to think 'bout much these days
'Cause everywhere I go
Only thing I see is your glowing face
And the way you light up every room you walk into
Just makes me want to scream
Yeah and my head keeps spinnin'
You got me trippin'
There's something about the way you move
Yeah, every little single thing you do is like
One part angel and one part danger
But, oh, the kind of crazy I like
You got me losing my mind
I'm losing my mind!
Can't understand why you got me so far gone
You're gonna have to lock me up before too long
You've got me losing my mind
Yeah and my head keeps spinnin'
You got me trippin'
There's something about the way you move
Yeah, every little single thing you do is like
One part angel and one part danger
But, oh, the kind of crazy I like
You got me losing my mind
I'm losing my mind!
You got me losing my mind
I'm losing my mind!",
Good In Goodbye,Carrie Underwood,"contemporary country,country,country dawn,country road,oklahoma country,post-teen pop","Lindsey Hillary Lee, Underwood Carrie, Ryan Tedder","Heard you laughing
In a crowd outside a restaurant we used to go to
I caught glimpse that stopped me in my tracks
It took me back
You looked happy
With that little girl up on your shoulders, happy
I know where she got those crystal eyes of blue
Time's been sweet to you
As bad as it was
As bad as it hurts
I think God I didn't get what I thought that I deserved
Sometimes life leads down a different road
When you're holding on to someone that you gotta let go
Someday you'll see the reason why
Sometimes, yeah sometimes
There's good in goodbye
I don't regret it
The time we had together
I won't forget it
But we both ended up where we belong
I guess goodbye made us strong
And yeah I'm happy
I found somebody too, who makes me happy
And I knew one day I'd see you on the street
And it'd be bittersweet
But as bad as it was
As bad as it hurts
I thank God I didn't get what I thought that I deserved
Sometimes life leads down a different road
When you're holding on the someone that you, gotta let go
Someday you'll see the reason why
Yeah sometimes, yeah sometimes
There's good in goodbye
As bad as it was
Yeah as bad as it hurt
I think God I didn't get what I thought that I deserved
Sometimes life leads down a different road
When you're holding on to someone that you've got to let go
Someday you'll see the reason why
Yeah, someday you'll see the reason why
There's good in goodbye
Yeah, yeah
There's good in goodbye
Mmhh, mmhh",
Take a Walk,Passion Pit,"alternative dance,indie pop,indie rock,indietronica,modern alternative rock,modern rock,pop rock,shimmer pop",Angelakos Michael,"All these kinds of places make it seem like it's been ages
Tomorrow some new building will scrape the sky
I love this country dearly
I can feel the ladder clearly
But I never thought I'd be alone to try
Once I was outside Penn Station selling red and white carnations
We were still alone my wife and I
Before we married saved my money
Brought my dear wife over
Now I work to bring my family stateside
But off the boat they stayed awhile then scattered across the coast
Once a year I'll see them for a week or so at most
I take a walk
I take a walk
(Take a walk, take a walk, take a walk, take a walk...)
Practice isn't perfect but the market cuts the loss
I remind myself that times could be much worse
My wife won't ask me questions
There's not so much to ask
And she'll never flaunt around an empty purse
Once my mother-in-law came just to stay a couple nights
Then decided she would stay the rest of her life
I watch my little children play some board game in the kitchen
And I sit and pray they never feel my strife
But then my partner called to say the pension funds were gone
He made some bad investments now the accounts are overdrawn
I take a walk
I take a walk
(Take a walk, take a walk, take a walk, take a walk...)
Honey, it's your son I think I borrowed just too much
We had taxes, we had bills, we had a lifestyle to front
And tonight I swear I'll come home and we'll make love like we're young
And tomorrow you'll cook dinner for the neighbors and their kids
We can rip apart those socialists and all their damn taxes
But see I am no criminal, I'm down on both bad knees
I'm just too much a coward, to admit when I'm in need
I take a walk
(Take a walk, take a walk, take a walk, take a walk...)
I take a walk
(Take a walk, take a walk, take a walk, take a walk...)
I take a walk
(Take a walk, take a walk, take a walk, take a walk...)
I take a walk
(Take a walk, take a walk, take a walk, take a walk...)",
Hosea's Wife,Brooke Fraser,"nz christian,nz pop,worship",Brooke Fraser,"I just spoke silence with the seeker next to me
She had a heart with hesitant, halting speech
That turned to mine and asked belligerently
""What do I live for?""
I see the scars of searches everywhere I go
From hearts to wars to literature to radio
There's a question like a shame no one will show
""What do I live for?""
We are Hosea's wife
We are squandering this life
Using people like ladders and words like knives
If we've eyes to see
If we've ears to hear
To find it in our hearts and mouths
The word that saves is near
Shed that shallow skin
Come and live again
Leave all you were before
To believe is to begin
There is truth in little corners of our lives
There are hints of it in songs and children's eyes
It's familiar, like an ancient lullaby
What do I live for?
We are Hosea's wife
We are squandering this life
Using bodies like money and truth like lies
If we've eyes to see
If we've ears to hear
To find it in our hearts and mouths
The word that saves is near
Shed that shallow skin
Come and live again
Leave all you were before
To believe is to begin
We are more than dust
That means something
That means something
We are more than just
Blood and emotions
Inklings and notions
Atoms on oceans",
Stuck,Stacie Orrico,"candy pop,dance pop,post-teen pop","Kevin Kadish, Stacie Orrico","I can't get out of bed today
Or get you off my mind
I just can't seem to find a way to leave the love behind
I ain't trippin
I'm just missin you
You know what I'm saying
You know what I mean
You kept me hanging on a string
Why you make me cry
I tried to give you everything
But you just give lies
I ain't trippin
I'm just missin you
You know what I'm saying
You know what I mean
Every now and then
When I'm all alone
I've been wishing you would call me on the telephone
Say you want me back
But you never do
I feel like such a fool
There's nothing I can do
I'm such a fool for you
I can't take it
What am I waiting for
My heart's still breakin
I miss you even more
And I can't fake it
The way I could before
I hate you but I love you
I can't stop thinkin of you
It's true, I'm stuck on you
Now love's a broken record
That's been skippin' in my head
I keep singing Yesterday
Why we got to play these games we play?
I ain't trippin
I'm just missin you
You know what I'm saying
You know what I mean
Every now and then
When I'm all alone
I've been wishing you would call me on the telephone
Say you want me back
But you never do
I feel like such a fool
I can't take it
What am I waiting for
My heart's still breakin
I miss you even more
And I can't fake it
The way I could before
I hate you but I love you
I can't stop thinkin of you
It's true, I'm stuck on you
Every now and then
When I'm all alone
I've been wishing you would call me on the telephone
Say you want me back
But you never do
I feel like such a fool
There's nothing I can do
I'm such a fool for you
I can't take it
What am I waiting for
My heart's still breakin
I miss you even more
And I can't fake it
The way I could before
I hate you but I love you
I can't stop thinkin of you
I hate you but I love you
I can't stop thinkin of you
I don't know what to do
I'm stuck on you",
